,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,hourly,employer_provided,min_salary,max_salary,avg_salary,company_text,state,same_state,comapny_age,python,sql,java,spark,aws,c++
0,Data Scientist,$69K-$113K (Glassdoor est.),"GEICO’s Data Science team uses predictive analytics and innovative machine learning models to create value from data. We solve problems across GEICO, from Marketing to Claims and Underwriting, and are responsible for developing and driving strategic modeling initiatives. We see our projects through the entire data science lifecycle, from problem definition to data exploration, data munging, modeling, analysis, and deployment into production systems. We maintain a close partnership with IT to ensure that our models can be deployed quickly and monitored in a flexible deployment framework.

As a Data Scientist, you will be a member of this diverse and highly skilled team. On any given day, you may be exploring new data sets with a business or IT partner, learning the intricacies of a business process, building models, or coordinating the productionalization of a model. You will use a variety of tools (including SQL, Python, R, Spark, and shell scripting) in a variety of environments (including various databases, Linux servers, and Hadoop). You’ll work in a highly collaborative, team environment where you will quickly develop wide ranging exposure to new methods and best practices for conducting data science in a commercial environment.

Expected Qualifications:

Bachelor’s degree in a quantitative discipline, such as statistics, data science, computer science, mathematics, engineering, physics, etc. Advanced degree strongly preferred
2 years of combined academic/industry experience with predictive modeling, machine learning, advanced analytics
Solid understanding and experience with advanced statistics and modern machine learning predictive techniques such as GLMs, decision trees, forests, boosted ensembles, neural networks, deep learning, etc.
Strong coding skills using common data science tools, such as Python (strongly preferred), R, Linux/Unix command line and shell scripting, etc.
Strong skills in data processing using SQL, Hive, Impala, Spark, or equivalent querying language
Familiarity with distributed storage and big data computing technology (AWS, Hadoop, Spark, etc.)
Excellent communication skills
Passion for extracting hidden insights and building machine learning systems that enhance business outcomes
About GEICO

For more than 75 years, GEICO has stood out from the rest of the insurance industry! We are one of the nation's largest and fastest-growing auto insurers thanks to our low rates, outstanding service and clever marketing. We're an industry leader employing thousands of dedicated and hard-working associates. As a wholly owned subsidiary of Berkshire Hathaway, we offer associates training and career advancement in a financially stable and rewarding workplace.

Our associates' quality of life is important to us. Full-time GEICO associates are offered a comprehensive Total Rewards Program*, including:
401(k) and profit-sharing plans
Medical, dental, vision and life insurance
Paid vacation, holidays and leave programs
Tuition reimbursement
Associate assistance program
Flexible spending accounts
Business casual dress
Fitness and dining facilities (at most locations)
Associate clubs and sports teams
Volunteer opportunities
GEICO Federal Credit Union
Benefit offerings for positions other than full-time may vary.
GEICO is an equal opportunity employer. GEICO conducts drug screens and background checks on applicants who accept employment offers.

How to Apply

Click ""Apply for Job"" to complete your application. You will need an active email address and phone number. Please upload your resume, preferably as Word .doc files or PDF. Once you begin your application you can save it and access it later. Your application should include any work and/or internship experience from at least the past five years.
#LI-JW1",3.3,"GEICO
3.3","Chevy Chase, MD","Washington, DC",10000+ employees,1936,Subsidiary or Business Segment,Insurance Carriers,Insurance,$10+ billion (USD),-1,0,0,69,113,91.0,"GEICO
",MD,0,84,1,1,0,1,1,0
1,Data Scientist,$108K-$145K (Glassdoor est.),"Secure our Nation, Ignite your Future

Summary

The successful candidate will possess a diverse range of data-focused skills and experience, both technical and analytical. They will have a strong desire and capability for problem solving, data analysis and troubleshooting, analytical thinking, and experimentation.

Duties, Tasks & Responsibilities
Working with large, complex, and disparate data sets
Designing and implementing innovative ways to analyze and exploit the Sponsors data holdings
Researching and reporting on a wide variety of Sponsor inquiries
Raising proactive inquiries to the Sponsor based on observations and proposed data analysis/exploitation
Solving difficult, non-routine problems by applying advanced analytical methodologies, and improving analytic methodologies
Developing custom searches
Communicating and coordinating with internal and external partners as needed
Required Experience, Skills, & Technologies
Thorough knowledge of appropriate analytic tools and methodologies in one or more of the following:
Applied mathematics (e.g. probability and statistics, formal modeling, computational social sciences)
Computer programming (e.g. programming languages, math/statistics packages, computer science, machine learning, scientific computing)
Ability to code or script in one or more general programming language
Experience with and theoretical understanding of algorithms for classification, regression, clustering, and anomaly detection
Knowledge of relational databases, including SQL and large-scale distributed systems (e.g. Hadoop)
Expertise with statistical data analysis (e.g. linear models, multivariate analysis, stochastic models, sampling methods)
Demonstrated effectiveness in collecting information and accurately representing/visualizing it to non-technical third parties
TS/SCI with Polygraph
Desired Experience, Skills & Technologies
Previous investigative experience, using a combination of technical and analytic skills
#LI-SS2

ManTech International Corporation, as well as its subsidiaries proactively fulfills its role as an equal opportunity employer. We do not discriminate against any employee or applicant for employment because of race, color, sex, religion, age, sexual orientation, gender identity and expression, national origin, marital status, physical or mental disability, status as a Disabled Veteran, Recently Separated Veteran, Active Duty Wartime or Campaign Badge Veteran, Armed Forces Services Medal, or any other characteristic protected by law.

If you require a reasonable accommodation to apply for a position with ManTech through its online applicant system, please contact ManTech's Corporate EEO Department at (703) 218-6000. ManTech is an affirmative action/equal opportunity employer - minorities, females, disabled and protected veterans are urged to apply. ManTech's utilization of any external recruitment or job placement agency is predicated upon its full compliance with our equal opportunity/affirmative action policies. ManTech does not accept resumes from unsolicited recruiting firms. We pay no fees for unsolicited services.

If you are a qualified individual with a disability or a disabled veteran, you have the right to request an accommodation if you are unable or limited in your ability to use or access http://www.mantech.com/careers/Pages/careers.aspx as a result of your disability. To request an accommodation please click careers@mantech.com and provide your name and contact information.",4.1,"ManTech
4.1","Chantilly, VA","Herndon, VA",5001 to 10000 employees,1968,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD),-1,0,0,108,145,126.5,"ManTech
",VA,1,52,0,1,0,0,0,0
2,Business Intelligence Analyst,Employer Provided Salary:$60K-$70K,"GENERAL DESCRIPTION
Individuals working as business intelligence analysts look for patterns and trends in data, and produce operational and market intelligence reports by querying available data repositories. They may examine geographic and seasonal trends as well as overall market or business behavior in order to provide recommendations for action. Their reports may be tailored to the needs of specific users. These individuals may develop programs and tools to facilitate their job.
ABOUT CARDONE VENTURES
This company operates nationally and is growing by the day. Our mission is to help business owners achieve their personal, professional, and goals through the growth of their businesses. We work in dozens of verticals and provide strategic business guidance through courses, live events, partnerships, and investments. Our core values are the backbone of our business and guide our hiring process: we are inspirational, accountable, transparent, disciplined, intentional, and results oriented.
JOB DUTIES AND RESPONSIBILITIES
On a day-to-day basis the position’s responsibilities include:
Articulating data collection needs to clients
Assisting clients in extracting data
Transforming the data into a standard format
Loading formatted data into an analytic model for the calculation of standard metric results
Creating analytic models, as needed
Working independently and collaboratively to deliver high-quality results for the company and clients
JOB SKILLS AND REQUIREMENTS
Technical Skills: Business intelligence analysts use complex computer programs to mine data sources and look for trends
Analytical Skills: A major part of the job is to determine what data trends mean. Being able to analyze the data is crucial
Communication Skills: Once the data is analyzed, business intelligence analysts must communicate their findings to the company or their managers
Collaboration Skills: Possess the interpersonal skills to collaborate with clients to extract data from information systems, work well with team members to deliver upon projects with cross-responsibilities
Problem-Solving: Business intelligence analysts need to look at the data trends and recommend solutions for creating more revenue and reducing loss
Time Management: Business intelligence analysts work on large projects and many data streams and many deadlines. Being able to juggle it all is crucial to the job
TECHNICAL SKILL REQUIREMENTS
Microsoft Office: Must have demonstrable high-level skills in Excel, intermediate level skills in Word and PowerPoint
Must have intermediate-level experience with Excel PowerPivot or Microsoft Power BI
Asana or other Project Management: Must have demonstrable intermediate-level experience using Asana or another project management application to collaborating with team members towards on-time delivery of work tasks
G Suite: Must have intermediate-level skills with Sheets, Docs, Slides, and Google Drive
Zoom: Must have experience with the Zoom video-conferencing application
SimplyAnalytics: Intermediate-level experience with the SimplyAnalytics platform is a plus
EDUCATION AND WORK EXPERIENCE
Bachelor's degree in business, management, accounting, economics, statistics, information science or similar
Masters in Business Administration (MBA) degree is a plus
Must have a minimum of 3-5 years of work experience in a position encompassing the General Description and Job Skills articulated above
PHYSICAL REQUIREMENTS
Prolonged periods sitting at a desk and working on a computer.
This position will require travel – up to 20%

COMMITMENT TO DIVERSITY
As an equal opportunity employer committed to meeting the needs of a multigenerational and multicultural workforce Cardone Ventures recognizes that a diverse staff, reflective of our community, is an integral and welcome part of a successful and ethical business. We hire local talent at all levels regardless of race, color, religion, age, national origin, gender, gender identity, sexual orientation or disability, and actively foster inclusion in all forms both within our company and across interactions with clients, candidates and partners.
If this position caught your eye, send us your resume! For best consideration, include the job title and source where you found this position in the subject line of your email to careers@cardoneventures.com. Already a Cardone Ventures candidate? Please connect directly with your recruiter to discuss this opportunity.",5.0,"Cardone Ventures
5.0","Vancouver, WA","Aventura, FL",1 to 50 employees,-1,Unknown,-1,-1,Unknown / Non-Applicable,-1,0,1,60,70,65.0,"Cardone Ventures
",WA,0,-1,0,0,0,0,0,0
3,Data Scientist,$56K-$97K (Glassdoor est.),"*Organization and Job ID**
Job ID: 310781

Directorate: Earth & Biological Sciences

Division: Environmental Molecular Sciences

Group: Computing, Analytics & Modeling
*Job Description**
The Pacific Northwest National Laboratory (PNNL) and the Environmental Molecular Sciences Laboratory (EMSL) seeks a data scientist focused on data integration for predictive understanding of complex biological and environmental systems. The EMSL is a U.S. Department of Energy (DOE) Office of Science user facility that provides innovative and breakthrough experimental and computational science that addresses DOE Office of Biological and Environmental Research (BER) programs by providing access to more than 75 state-of-the-art instrumental and high-performance computing capabilities. EMSL users address some of the most important molecular-to-mesoscale challenges relevant to DOE missions. The candidate should have experience with or interest in scientific software development and management of scientific data in accordance with the FAIR principles. The position requires an ability and willingness to work with EMSL users to assist them in achieving their scientific objectives. The candidate must therefore be adept at collaborating with interdisciplinary technical teams through strong communication, interpersonal, and data science skills and experience in addition to be willing to assist domain-expert researchers with a variety of research interests. The candidate will also contribute to research in areas important to EMSL and PNNL.

Job Description:

+ Designs, develops, and implements methods, processes, and systems to analyze diverse data. Applies knowledge of statistics, machine learning, advanced mathematics, simulation, software development, and data modeling to integrate and clean data, recognize patterns, address uncertainty, pose questions, and make discoveries from structured and/or unstructured data. Produces solutions driven by exploratory data analysis from complex and high-dimensional datasets. Designs, develops, and evaluates predictive models and advanced algorithms that lead to optimal value extraction from the data. Demonstrates ability to transfer skills across application domains.

+ Contribute to a research program in data science applied to the biological or environmental sciences, developing data analysis and integration approaches for omics or imaging data.

+ Collaborate with researchers on the development and innovative application of advanced simulation, data analysis, visual analytics, or other computational techniques to research problems relevant to DOE-BER missions where computational approaches are significant.

Discipline, principal job duties/expectations, and qualitative and quantitative measures of performance that exceed the Functional Descriptor:

+ Selects and develops technical approaches on assignments with occasional oversight on complex problems. Principal investigator or co-PI on projects or tasks, while integrating capabilities of work team members. Supports scoping, scheduling, and budgeting at a project or major task level. Generates new ideas for proposals and business development opportunities while leading development of technical section of small to medium proposals.
*Minimum Qualifications**
+ BS/BA with 5 years of experience, or

+ MS/MA with 3 years of experience, or

+ PhD with 1 year of experience
*Preferred Qualifications**
+ Degree in Computational Biology, Applied Mathematics, Statistics, Computer Science, or related field.

+ Experience in evaluation/application of new algorithms and implementations for the biological or environmental sciences.

+ Experience in data management and scientific application processing, including data warehousing, workflow development, and automation.

+ Experience participating in domain-science software development teams.

+ Research experience in theory or methods in areas such as bioinformatics, data science, computer science, or computational chemistry.
*Equal Employment Opportunity**
Battelle Memorial Institute (BMI) at Pacific Northwest National Laboratory (PNNL) is an Affirmative Action/Equal Opportunity Employer and supports diversity in the workplace. All employment decisions are made without regard to race, color, religion, sex, national origin, age, disability, veteran status, marital or family status, sexual orientation, gender identity, or genetic information. All BMI staff must be able to demonstrate the legal right to work in the United States. BMI is an E-Verify employer. Learn more at jobs.pnnl.gov.
*_Please be aware that the Department of Energy (DOE) prohibits DOE employees and contractors from participation in certain foreign government talent recruitment programs. If you are offered a position at PNNL and are currently a participant in a foreign government talent recruitment program you will be required to disclose this information before your first day of employment._**
_Directorate:_ _Earth & Biological Sciences_

_Job Category:_ _Scientists/Scientific Support_

_Group:_ _Comput Analytics & Modeling_

_Opening Date:_ _2020-04-23_

_Closing Date:_ _2020-05-23_",3.8,"Pacific Northwest National Laboratory
3.8","Richland, WA","Richland, WA",1001 to 5000 employees,1965,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),"Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory",0,0,56,97,76.5,"Pacific Northwest National Laboratory
",WA,1,55,0,0,0,0,0,0
4,Data Scientist,$68K-$96K (Glassdoor est.),"Who We Are

Were Americas largest mortgage lender, closing loans in all 50 states. J.D Power ranked Quicken Loans Highest in Customer Satisfaction in Primary Mortgage Origination for the past nine consecutive years, 2010 2018. The company was also ranked highest in the nation for client satisfaction among mortgage servicers by J.D. Power for four consecutive years, 2014 through 2017, each year the company was eligible. Theres a simple reason weve been so successful: We care about the people we work with.

If youre tired of stuffy, bureaucratic workplaces, then youll be delighted to find something different here. We strive to make a creative, fun and collaborative environment you simply wont find anywhere else. Quicken Loans was named #1 in ESSENCE Magazines first ever list of Best Places to Work for African Americans in 2015. We've been on Computerworld's ""Best Places to Work in IT"" list for 13 years running, hitting #1 the last five years. We were also ranked #14 in FORTUNE Magazines list of ""100 Best Companies to Work For"" in 2018, remaining in the top-30 for the past 15 years.

What Youll Do/Need

The Data Scientist at Quicken Loans delves into the recesses of large data sets of structured, semi-structured and unstructured data to discover hidden knowledge about our business and to develop methods to leverage that knowledge within our line of business. The successful candidate combines strengths in mathematics and applied statics, computer science, visualization capabilities and a healthy sense of exploration and knowledge acquisition.

Responsibilities
Leverage your knowledge of programming, mathematics and computer science to transform the way our company does business
Translate business opportunities into data-driven machine learning, big data and modeling solutions that revamp our processes or produce data products
Develop and collect data for ad-hoc and statistical analyses
Identify methods that allow continuous and automated statistical testing to enhance the predictability of deployed models
Maintain relationships between business area clients, Business Intelligence and Technology so all teams are aligned to meet team objectives
Work with Project Managers to develop detailed project timelines
Summarize and present conclusions and solutions
Communicate complex analyses clearly to all audiences
Requirements
Masters degree or above in a STEM field, including but not limited to: computer science, statistics, applied mathematics, operations research, engineering, economics, social sciences, physics, chemistry
4 years of experience providing advanced analytics within a business setting
1 year of data science implementation experience within a business setting
Experience working with raw and missing data
Understanding of programming fundamentals
Understanding of statistics
Excellent communication skills
Whatll Make You Special
Experience with data visualization tools and time series
Working knowledge of relational databases and standard SQL query methods
Proficiency in at least one general programming language such as Python, Java or C/C++
Experience working with big data within a Hadoop environment
Experience working with R, SAS or other statistical packages
Advanced experience with statistical, econometric or data-mining tools and methods
Experience with linear models (linear regression, generalized linear regression, logistic regression), and nonlinear modeling techniques
Knowledge of advanced nonlinear techniques, including smoothing and ensemble methods
What Youll Get
Excellent benefits package that includes a 401(k) match, medical/dental/vision insurance and much more
Opportunities to participate in professional and personal development programs, including personal empowerment coaching, leadership training and ongoing personal growth training
Other incentives, contests and rewards, including trips, event tickets, cash prizes and more
Why We're Different

Corporate politics not your strong suit? The anti-corporate culture of Quicken Loans gives our team members the initiative to build solutions together and grow both personally and professionally. At Quicken Loans, were in the business of putting roofs over our clients heads, but we certainly arent putting ceilings on our team members careers. If youre interested in working in a place with a philosophy thats truly different, apply today.",3.9,"Quicken Loans
3.9","Detroit, MI","Detroit, MI",10000+ employees,1985,Company - Private,Lending,Finance,$10+ billion (USD),"Citi, Bank of America, Wells Fargo",0,0,68,96,82.0,"Quicken Loans
",MI,1,35,1,1,1,0,0,1
5,Data Scientist,$68K-$78K (Glassdoor est.),"Preferred Qualifications
Masters degree or doctorate in statistics or another applied science field or equivalent experience
Considerable experience with statistical tools and packages (e.g., SAS, SPSS, Minitab, R) and methods to incorporate statistical results into analyses
Proficiency in at least one programming language, such as Python, Java or C/C++
Strong knowledge of statistical methods, particularly in the areas of modeling and business analytics
Comfort manipulating and analyzing complex, high-volume, high-dimensionality data from varying sources
Ability to communicate complex quantitative analysis in a clear, precise and actionable manner
Experience with modeling and forecasting
Working knowledge of standard querying with SQL
Advanced hands-on experience with the Microsoft Office suite
Proven track record as a lead resource for the business
Strong written and verbal communication skills
Job Summary

The Data Scientist works with business owners and Technology teams to provide deep analysis and guidance on crucial business opportunities across many areas within the company. They draw upon their knowledge and experience in applied statistics, data mining, modeling and forecasting to ensure that results are accurate and clear, providing actionable opportunities for business leaders. The Data Scientist must be detail-oriented and highly aware of the impact of their analysis and solutions across the company. They take initiative and focus on finding innovative solutions for a myriad of business challenges.

Responsibilities
Work closely with various teams across the company to identify and solve business challenges utilizing large structured, semi-structured and unstructured data
Drive the collection of new data and the refinement of existing data sources for deep statistical analysis and modeling
Clean data in preparation for analysis and modeling
Perform statistical summaries and tests for relevant business questions
Develop predictive statistical, behavioral or other models via supervised and unsupervised machine learning, statistical analysis and other modeling techniques
Translate business opportunities into data-driven machine learning and modeling solutions that revamp the business process
Deploy applicable models into production system for business use
Perform statistical testing to enhance the predictability of deployed models
Summarize conclusions and solutions for presentation
Develop strong relationships with subject matter experts
Develop best practices for experimentation
Who We Are

Amrock is one of the largest providers of title insurance, property valuations and settlement services in the nation. The company is an authorized agent of the highest-rated title insurers in the industry, and its solutions power many of the nation's largest residential lending institutions. Amrock is a preferred provider to five of the top 20 Fortune 100 companies and many of the largest residential mortgage lenders. The company is based in Detroit and retains regional operating centers in Ohio, California, Pennsylvania and Texas.

Disclaimer

This is an outline of the primary responsibilities of this position. As with everything in life, things change. The tasks and responsibilities can be changed, added to, removed, amended, deleted and modified at any time by the leadership group.",3.6,"Amrock
3.6","Detroit, MI","Detroit, MI",1001 to 5000 employees,1997,Company - Private,Real Estate,Real Estate,$500 million to $1 billion (USD),-1,0,0,68,78,73.0,"Amrock
",MI,1,23,1,1,1,0,0,1
6,Data Scientist,$60K-$100K (Glassdoor est.),"Job
Summary
Apply several forms of statistical modeling approaches to predict and/or
optimize desired analytical objectives from key business stakeholders. Perform
data preparation, statistical model framework design, testing, implementation,
and ongoing performance monitoring. Prepare comprehensive model documentation
that meet internal, external and regulatory standards. Support Credit,
Marketing and other business line operations by solving complex quantitative
business problems. Execute various ad hoc quantitative and statistical software
programming assignments. Communicate
meaningful insights into data and model results to senior and executive management
in a non-technical manner. Requires working at a highly technical, analytical
and detail-oriented level.

Key Result Areas

· Organizing

· Analysis

· Accuracy

· Time Management

· Reporting

· Problem Solving

· Customer Service

· Regulation and
Compliance

· Collaboration

· Research

· Other Technical
Skills

Job Accountabilities

· Perform data
preparation, statistical model framework design, estimation, performance and
diagnostic testing, implementation, and ongoing monitoring to predict and/or
optimize desired objectives from business stakeholders.

· Prepare comprehensive model
documentation that meet internal, external and regulatory standards.

· Execute various ad hoc
quantitative and statistical software programming assignments.

· Communicate meaningful insights
into data and model results to senior and executive management in a
non-technical manner.

· Research
and deploy new statistical techniques and statistical software programming
languages.

Associated Bank is an equal opportunity employer committed to
creating a diverse workforce. We support a work environment where colleagues
are respected and given the opportunity to perform to their fullest potential.
We consider all qualified applicants without regard to race, religion, color,
sex, national origin, age, sexual orientation, gender identity, disability or
veteran status, among other factors. Applicants with a disability who need
assistance applying for a position with Associated Bank are asked to email:
colleaguecare@AssociatedBank.com or call: (800) 878-3282.

Education

·
Bachelor's Degree Statistics, Applied Economics, or Mathematics,
Required

Experience

·
2-4 years Quantitative modeling experience, Required

Skills

·
Analytical , Intermediate

·
Microsoft Office , Intermediate

·
Mathematical , Intermediate

·
Operate Office Equipment , Beginner

·
Verbal Communication , Intermediate

·
Written Communication , Intermediate

· Computer Systems
(specify) SAS, R, Python, and SQL, Intermediate

Compliance
Statement
Fully complies with all applicable enterprise policies and procedures. Acts in
compliance with all applicable laws and regulations as outlined in training
materials, including but not limited to Bank Secrecy Act. Responsible for
reporting suspicious activity to Financial Intelligence. Responsible to report
all customer complaints as prescribed and procedure violations to management or
HR. Responsible to report ethical concerns as needed to Associateds anonymous
Ethics Hotline.",3.8,"Associated Banc-Corp
3.8","Milwaukee, WI","Green Bay, WI",1001 to 5000 employees,1870,Company - Public,Banks & Credit Unions,Finance,$1 to $2 billion (USD),"Wells Fargo, BMO Harris Bank, U.S. Bank",0,0,60,100,80.0,"Associated Banc-Corp
",WI,1,150,1,1,0,0,1,0
7,"Senior Associate Scientist, Cellular Process Development",$103K-$193K (Glassdoor est.),"bluebird bio's Cellular Process Development and Gene Editing team is a group of birds in Pharmaceutical Sciences designing processes to manufacture high quality messenger mRNA, reprogrammed T cells, and stem cells for our patients. We develop the gene therapy and gene editing manufacturing platforms and chaperone them from pre-clinical to commercial manufacturing phases in collaboration with other teams across Pharm Sci and Research. Come join our incredibly talented team of birds and learn more about how the work from this team has a significant impact in patient's lives.

The cellular process development teams are responsible for developing cellular drug product processes and introducing new technologies for stem cell and T-cell based therapies. The focus of this position is to contribute to the development of manufacturing processes for our hematopoietic stem cell therapies. We are looking for a motivated scientist with the experience and drive to take ownership of important development, characterization, and process improvement projects. You will utilize your experience in a variety of cell-based methods and strong understanding of tissue culture, cell biology, immunoassays, and general laboratory techniques, as well as pertinent experience in the transfer and application of technology in a cGMP environment.

About the role:
Contribute to the development and characterization of engineered hematopoietic stem cell (HSC) processes to support manufacturing of both early and late stage products.
Work collaboratively with members from other groups including cell research, analytics, quality, and regulatory functions.
Develop experimental plans, author protocols and reports, interpret scientific results, and support CMC activities.
Summarize and present scientific data to stakeholders.
Develop process improvements for unit operations for HSC-based clinical and commercial programs.
Independently manage and execute on key project workstreams.
Provide critical lab support while working in a collaborative team environment.
Hands-on lab-based position (70%) requiring a flexible schedule based on experimental work (occasional weekend work may be required).
About you:
BS/MS in molecular biology, cell biology, biomedical engineering, chemical engineering, bioengineering, biochemistry or related degree with 4+ years of industry experience or relevant academic experience (BS) or 1+ years of industry experience (MS).
Expertise in aseptic tissue/cell culture is required. Experience with the culturing of primary human hematopoietic stem cells is preferred.
Familiarity with designing and characterizing processes in the Quality by Design space in a clinical setting.
Strong background in a variety of biological assays such as FACS, ELISA, and qPCR is preferred.
Experience with large scale, closed system manufacturing of therapeutic cell and/or gene therapy products from whole blood, apheresis, or bone marrow is highly preferred.
Familiarity with common cellular therapy equipment such as Sepax, controlled rate freezers, and cell separation technologies (CliniMACS and other technologies) is preferred.
Demonstrated experience with DOE models and background in using statistical software (JMP, Minitab, Prism or others) is desirable.
Experience with risk-based assessments such as RCA, FMEA, and streamlining processes is preferred.
Ability to manage priorities and make decisions in a fast-paced environment to ensure deliverables are completed in a timely fashion.
Ability to work effectively in a collaborative team environment where results are achieved through influence, cooperation, and the incorporation of multiple points of view.
Independently motivated, detail oriented and excellent problem-solving ability.
Excellent organizational skills, with an ability to embrace change and multi-task in an extremely fast-paced environment.
Excellent communications skills and ability to influence across multiple functions.
Be ready to embrace the principles of the bluebird bio culture: b colorful, b cooperative, and b yourself.",3.3,"bluebird bio
3.3","Cambridge, MA","Cambridge, MA",1001 to 5000 employees,2010,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10 to $25 million (USD),-1,0,0,103,193,148.0,"bluebird bio
",MA,1,10,0,0,0,0,0,0
8,Data Scientist,$48K-$80K (Glassdoor est.),"About Us

Founded in Syracuse in 1992, we are a critical response center focused on saving lives and protecting homes and businesses. Whether its a fire at a family home, an armed intruder at a business, a missing vehicle, an evening jogger, or a lone family member having a medical emergency, our heroes are there to help every day. Supported by teams of experts in their respective fields, our 600+ highly trained specialists are the 24/7 backbone for thousands of alarm companies across the country.

Role Summary

Rapid Response is seeking a discerning and critical thinking Data Scientist to spearhead our Business Intelligence function. In this role, you will collaborate across the organization, using your experience in data science and business intelligence to analyze existing data to build dashboards, reports, and presentations and enable data-driven decision making across the organization.

Responsibilities
Collect and consult on the best ways to warehouse the myriad datasets across the organization using SQL and other databases
Translate business requirements to technical requirements
Champion and lead the development of cross-organizational dashboards
Educate executives and leadership on model outputs to improve their understanding of data science and apply the results to business decisions
Lead multiple projects and serve as project manager to identify issues, priorities, and goals
Navigate ambiguity; identify and tackle strategic opportunities and problems we have not fully defined through data
Apply a range of data science techniques and tools to solve difficult business problems
Basic Qualifications
3+ years of work experience applying varied data science methodologies
3+ years of work experience with data mining and advanced analytics and/or statistics
2+ years of project experience using Python and/or R
Masters Degree in Data Science, Math, or Analytics
Expert level SQL Structured Query Language
Proficiency with Microsoft SQL Server
Research, in-depth analysis and reporting skills
Preferred Qualifications
3+ years work experience managing data analytics projects
Ability to distill large datasets into understandable information
Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications
Experience using leading business intelligence tools
Rapid Response Monitoring Services, Inc. is an affirmative action and equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, disability, age, sexual orientation, gender identity, national origin, veteran status, or genetic information.

Rapid Response Monitoring Services, Inc. is committed to providing access, equal opportunity and reasonable accommodation for individuals with disabilities in employment, its services, programs, and activities. To request reasonable accommodation, contact us by phone: 833.205.8900 or by email: disabilityaccommodations@rrms.com.

For technical support or questions regarding the Recruiting process, please contact by sending an e-mail jobs@rrms.com. We are a company that participates in e-verify. For more information, see https://www.e-verify.gov/about-e-verify/what-is-e-verify

INDCAMP2",4.7,"Rapid Response Monitoring
4.7","Syracuse, NY","Syracuse, NY",501 to 1000 employees,1992,Company - Private,Security Services,Business Services,Unknown / Non-Applicable,"COPS Monitoring, National Monitoring Center, Affiliated Monitoring",0,0,48,80,64.0,"Rapid Response Monitoring
",NY,1,28,1,1,0,0,0,0
9,Data Scientist,$79K-$118K (Glassdoor est.),"Data Scientist
Location: Hill AFB, UT
Education Required: Bachelor’s degree required, preferably in math, engineering, business, or the sciences.
Skills Required:

Tecolote Research is seeking a Data Scientist to join our Aviation & Missiles Programs Group in Hill AFB, UT. Ideal applicant must have a minimum of 5 years of experience and should be proficient in the use of Power BI, Tableau, Python, MATLAB, Microsoft Word, PowerPoint, and Excel. Applicant should also have working knowledge of MS Access, LMS, SAS, data visualization tools, and have a strong algorithmic aptitude.

Other skills and experience:
Excellent verbal communication, written, and quantitative analytical skills.
Ability to work in a team environment.
Experience working SQL, Python, R, and various data visualization tools is a plus.
Security Clearance:
Active Clearance is preferred. Must possess and/or have the ability to obtain a Secret clearance. U.S. citizenship is required.
Responsibilities: The applicant will be responsible for formulating analytical solutions to complex data problems; creating data analytic models to improve data metrics; analyzing customer behavior and trends; delivering insights to stakeholders, as well as designing and crafting reports, dashboards, models, and algorithms to make data insights actionable; selecting features, building and optimizing classifiers using machine learning techniques; data mining using state-of-the-art methods, extending organization’s data with third party sources of information when needed; enhancing data collection procedures to include information that is relevant for building analytic systems; processing, cleansing, and verifying the integrity of data used for analysis; doing ad-hoc analysis and presenting results in a clear manner; and creating automated anomaly detection systems and constant tracking of its performance.
Benefits:
We offer competitive salaries commensurate with education and experience. We have an excellent benefits package that includes:
Comprehensive health, dental, life, long and short term disability insurance
100% Company funded Retirement Plans
Generous vacation, holiday and sick pay plans
Tuition assistance

Benefits are provided to employees regularly working a minimum of 30 hours per week.

Tecolote Research is a private, employee-owned corporation where people are our primary resource. Our investments in technology and training give our employees the tools to ensure our clients are provided the solutions they need, and our very high employee retention rate and stable workforce is an added value to our customers. Apply now to connect with a company that invests in you.",4.0,"Tecolote Research
4.0","Hill AFB, UT","Goleta, CA",501 to 1000 employees,1973,Company - Private,Aerospace & Defense,Aerospace & Defense,$50 to $100 million (USD),-1,0,0,79,118,98.5,"Tecolote Research
",UT,0,47,1,1,0,0,0,0
